election_term,state,seat_code,seat_name,total_votes_cast,voter_turnout_percentage,majority,total_registered_voters,absent_voters
ge15,Perak,P.071,Gopeng,104730,0.729028171,27148,143657,38927
ge15,Perak,P.072,Tapah,45447,0.733655119,5064,61946,16499
ge15,Perak,P.073,Pasir Salak,58217,0.77870815,5003,74761,16544
ge15,Perak,P.074,Lumut,72152,0.77606161,363,92972,20820
ge15,Perak,P.075,Bagan Datuk,42695,0.733805407,348,58183,15488
ge15,Perak,P.076,Teluk Intan,64910,0.744192979,15169,87222,22312
ge15,Perak,P.077,Tanjong Malim,70928,0.75557402,3541,93873,22945
ge15,Pahang,P.078,Cameron Highlands,34115,0.741308127,4544,46020,11905
ge15,Pahang,P.079,Lipis,36238,0.768992445,6118,47124,10886
ge15,Pahang,P.080,Raub,56968,0.758925717,4357,75064,18096
ge15,Pahang,P.081,Jerantut,67592,0.776464371,8092,87051,19459
ge15,Pahang,P.082,Indera Mahkota,93379,0.774614472,8399,120549,27170
ge15,Pahang,P.083,Kuantan,67762,0.773565305,2866,87597,19835
ge15,Pahang,P.084,Paya Besar,61983,0.777274779,1317,79744,17761
ge15,Pahang,P.085,Pekan,94391,0.790259789,8949,119443,25052
ge15,Pahang,P.086,Maran,41514,0.781395874,1821,53128,11614
ge15,Pahang,P.087,Kuala Krau,48348,0.798652064,1024,60537,12189
ge15,Pahang,P.088,Temerloh,83396,0.780649449,5520,106829,23433
ge15,Pahang,P.089,Bentong,67332,0.773415424,692,87058,19726
ge15,Pahang,P.090,Bera,59548,0.766689413,16695,77669,18121
ge15,Pahang,P.091,Rompin,66927,0.750883531,1438,89131,22204
ge15,Selangor,P.092,Sabak Bernam,40977,0.79398942,5056,51609,10632
ge15,Selangor,P.093,Sungai Besar,51070,0.793234134,2721,64382,13312
ge15,Selangor,P.094,Hulu Selangor,122442,0.793444663,1562,154317,31875
ge15,Selangor,P.095,Tanjong Karang,51205,0.82331093,2180,62194,10989
ge15,Selangor,P.096,Kuala Selangor,86481,0.840020981,1002,102951,16470
ge15,Selangor,P.097,Selayang,144881,0.798070938,23619,181539,36658
ge15,Selangor,P.098,Gombak,165426,0.800148977,12729,206744,41318
ge15,Selangor,P.099,Ampang,104430,0.78228235,29681,133494,29064
ge15,Selangor,P.100,Pandan,115656,0.777623882,48296,148730,33074
ge15,Selangor,P.101,Hulu Langat,136789,0.819576758,14896,166902,30113
ge15,Selangor,P.102,Bangi,244291,0.805098375,69701,303430,59139
ge15,Selangor,P.103,Puchong,120949,0.791235174,57957,152861,31912
ge15,Selangor,P.104,Subang,177983,0.770689357,115074,230940,52957
ge15,Selangor,P.105,Petaling Jaya,145862,0.747442966,50575,195148,49286
ge15,Selangor,P.106,Damansara,174937,0.731638666,124619,239103,64166
ge15,Selangor,P.107,Sungai Buloh,129639,0.820032893,2693,158090,28451
ge15,Selangor,P.108,Shah Alam,135768,0.819142774,18097,165744,29976
ge15,Selangor,P.109,Kapar,158030,0.834508288,11782,189369,31339
ge15,Selangor,P.110,Klang,163905,0.784561037,91801,208913,45008
ge15,Selangor,P.111,Kota Raja,197634,0.807618752,73998,244712,47078
ge15,Selangor,P.112,Kuala Langat,123680,0.832094297,1833,148637,24957
ge15,Selangor,P.113,Sepang,137955,0.820970132,8949,168039,30084
ge15,W.P. Kuala Lumpur,P.114,Kepong,72319,0.767025508,61081,94285,21966
